LEName,WellName,CorpID,ForecastGeneratedFrom,Wedge,LE_Date,Update_Date,Update_User
SoHaFebruaryForecast,2019 NWD FHM,2019 NWD FHM,,,2020-02-01 00:00:00.000,2020-01-30 13:52:04.000,Travis Comer
SoHaFebruaryForecast,2019 NWD Unplanned 3PG,2019 NWD Unplanned 3PG,,,2020-02-01 00:00:00.000,2020-01-30 13:52:01.000,Travis Comer
SoHaFebruaryForecast,2019 NWD Unplanned Ops,2019 NWD Unplanned Ops,,,2020-02-01 00:00:00.000,2020-01-30 13:51:59.000,Travis Comer
SoHaFebruaryForecast,Angie,Angie,,Base,2020-02-01 00:00:00.000,2020-01-30 13:49:41.000,Travis Comer
SoHaFebruaryForecast,Apato 1H,Apato 1H,,,2020-02-01 00:00:00.000,2020-01-30 13:51:43.000,Travis Comer
SoHaFebruaryForecast,Base FHM,Base FHM,,,2020-02-01 00:00:00.000,2020-01-30 13:52:02.000,Travis Comer
SoHaFebruaryForecast,Base Unplanned 3PG,Base Unplanned 3PG,,,2020-02-01 00:00:00.000,2020-01-30 13:51:56.000,Travis Comer
SoHaFebruaryForecast,Base Unplanned Ops,Base Unplanned Ops,,,2020-02-01 00:00:00.000,2020-01-30 13:51:52.000,Travis Comer
SoHaFebruaryForecast,Blocker,Blocker,,Base,2020-02-01 00:00:00.000,2020-01-30 13:49:43.000,Travis Comer
SoHaFebruaryForecast,Brookeland,Brookeland,,,2020-02-01 00:00:00.000,2020-01-30 13:49:44.000,Travis Comer
SoHaFebruaryForecast,Concavenator 2H,Concavenator 2H,,,2020-02-01 00:00:00.000,2020-01-30 13:51:50.000,Travis Comer
SoHaFebruaryForecast,CW 2015 NWD,CW 2015 NWD,,,2020-02-01 00:00:00.000,2020-01-30 13:49:46.000,Travis Comer
SoHaFebruaryForecast,CW 2016 NWD,CW 2016 NWD,,,2020-02-01 00:00:00.000,2020-01-30 13:49:47.000,Travis Comer
SoHaFebruaryForecast,East Carthage,East Carthage,,Base,2020-02-01 00:00:00.000,2020-01-30 13:49:49.000,Travis Comer
SoHaFebruaryForecast,"Europa 2HB ","Europa 2HB ",,,2020-02-01 00:00:00.000,2020-01-30 13:51:47.000,Travis Comer
SoHaFebruaryForecast,Europa 3HU,Europa 3HU,,,2020-02-01 00:00:00.000,2020-01-30 13:51:48.000,Travis Comer
SoHaFebruaryForecast,Fox,Fox,,,2020-02-01 00:00:00.000,2020-01-30 13:49:50.000,Travis Comer
SoHaFebruaryForecast,Ganymede 1H,Ganymede 1H,,,2020-02-01 00:00:00.000,2020-01-30 13:51:34.000,Travis Comer
SoHaFebruaryForecast,Ganymede 1HB,Ganymede 1HB,,,2020-02-01 00:00:00.000,2020-01-30 13:51:36.000,Travis Comer
